# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.04829e-05 to 66.9325 h/Mpc,
# number of wavenumbers equal to 621
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:phi                    9:psi                
       3.537640673725e-03      -6.791157323522e-03      -1.052271185753e+02      -1.052450625712e+02      -2.016177654803e-01      -9.261878971584e+01      -1.051587912488e+02       4.414846747500e-01       4.414848194360e-01 
       3.657392231306e-03      -2.959691597263e-02      -1.121192872449e+02      -1.121389569963e+02      -2.750622592754e-01      -9.815744983544e+01      -1.120445778788e+02       4.400936367815e-01       4.400937131805e-01 
       3.777712814022e-03      -3.640126430300e-02      -1.192388035148e+02      -1.192603354559e+02      -2.893272997769e-01      -1.038329275817e+02      -1.191573537661e+02       4.386924359077e-01       4.386925091084e-01 
       3.898557233570e-03      -9.804537924530e-03      -1.265833273336e+02      -1.266068713711e+02      -2.626961596209e-01      -1.096412346347e+02      -1.264947817750e+02       4.372822177475e-01       4.372823482193e-01 
       4.019884634724e-03       2.662503007715e-02      -1.341504707920e+02      -1.341761895373e+02      -2.448864942119e-01      -1.155784444710e+02      -1.340544863677e+02       4.358640719338e-01       4.358642539442e-01 
       4.141658041658e-03       3.746107666531e-02      -1.419378246181e+02      -1.419658916404e+02      -2.657291543608e-01      -1.216407069336e+02      -1.418340700876e+02       4.344390508654e-01       4.344392281602e-01 
       4.263843951745e-03       1.820156872870e-02      -1.499429401817e+02      -1.499735388167e+02      -3.086782601048e-01      -1.278242278198e+02      -1.498310865100e+02       4.330080536583e-01       4.330081854089e-01 
       4.386411972771e-03       2.069813787834e-04      -1.581633448852e+02      -1.581966655251e+02      -3.332266752060e-01      -1.341252727023e+02      -1.580430552389e+02       4.315718652147e-01       4.315719662414e-01 
       4.509334499493e-03       1.162271297737e-02      -1.665965829849e+02      -1.666328215309e+02      -3.204993556763e-01      -1.405401964934e+02      -1.664675140400e+02       4.301312904965e-01       4.301314057850e-01 
       4.632586425604e-03       4.179983045097e-02      -1.752401570036e+02      -1.752795133690e+02      -2.927080541336e-01      -1.470653838543e+02      -1.751019680111e+02       4.286870056460e-01       4.286871549367e-01 
       4.756144887409e-03       1.946626122646e-01      -1.840915564126e+02      -1.841342350820e+02       1.985075285516e-01      -1.536972700648e+02      -1.839438525777e+02       4.272395951117e-01       4.272395708094e-01 
       4.879989035791e-03       1.940126346021e-01      -1.931483133239e+02      -1.931945234566e+02       1.978445249607e-01      -1.604323433994e+02      -1.929908237201e+02       4.257897953550e-01       4.257897745881e-01 
       5.004099833329e-03       1.933610325222e-01      -2.024079529439e+02      -2.024579100180e+02       1.971798786350e-01      -1.672671447162e+02      -2.022403423210e+02       4.243381322272e-01       4.243381144384e-01 
       5.128459873752e-03       1.927078694689e-01      -2.118680423542e+02      -2.119219708728e+02       1.965136580510e-01      -1.741982546548e+02      -2.116899792021e+02       4.228852128615e-01       4.228851975873e-01 
       5.253053221190e-03       1.920541207360e-01      -2.215259995768e+02      -2.215841337620e+02       1.958468424875e-01      -1.812221150314e+02      -2.213371567907e+02       4.214312883198e-01       4.214312751744e-01 
       5.377865266953e-03       1.913997009459e-01      -2.313794802408e+02      -2.314420686265e+02       1.951793518209e-01      -1.883353577350e+02      -2.311795386988e+02       4.199770325718e-01       4.199770212328e-01 
       5.502882601834e-03       1.907452275933e-01      -2.414258952650e+02      -2.414932003346e+02       1.945118060063e-01      -1.955343733529e+02      -2.412145436016e+02       4.185225984756e-01       4.185225886729e-01 
       5.628092902131e-03       1.900908363195e-01      -2.516627944841e+02      -2.517350944758e+02       1.938443439740e-01      -2.028156332024e+02      -2.514397303068e+02       4.170683617160e-01       4.170683532227e-01 
       5.753484827839e-03       1.894366990234e-01      -2.620877717157e+02      -2.621653606422e+02       1.931771411388e-01      -2.101755974642e+02      -2.618527013622e+02       4.156147163180e-01       4.156147089433e-01 
       5.879047931592e-03       1.887829388848e-01      -2.726983609451e+02      -2.727815471265e+02       1.925103228905e-01      -2.176106305558e+02      -2.724509981062e+02       4.141619060122e-01       4.141618995949e-01 
       6.004772577142e-03       1.881296067939e-01      -2.834920942750e+02      -2.835812012283e+02       1.918439418939e-01      -2.251170534560e+02      -2.832321605539e+02       4.127101376589e-01       4.127101320627e-01 
       6.130649866283e-03       1.874769449095e-01      -2.944667341872e+02      -2.945620950820e+02       1.911782447732e-01      -2.326913288159e+02      -2.941939539923e+02       4.112599022304e-01       4.112598973399e-01 
       6.256671573278e-03       1.868249719714e-01      -3.056197348663e+02      -3.057216943526e+02       1.905132503354e-01      -2.403296505162e+02      -3.053338371995e+02       4.098112017288e-01       4.098111974460e-01 
