# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_lambda         15:(.)rho_ur             16:(.)rho_crit           17:gr.fac. D             18:gr.fac. f          
       8.697823467967e+13       9.991132076287e-26       5.329638952389e-09       1.632229335970e+22       1.415326394590e+04       1.627219039111e-10       1.231025912970e+18       3.076584037512e-09       1.574785573594e+44       1.639979348682e+33       8.780395547809e+33       3.623656097432e+43       1.207885365811e+43       3.463310090800e-08       7.270214217602e+43       2.664172605201e+44       1.560238430469e-06       7.167828077816e+00 
       8.637361934426e+13       1.013149749083e-25       5.366018740460e-09       1.609615842992e+22       1.415326394590e+04       1.638609572385e-10       1.222468632542e+18       3.098120125774e-09       1.531452550306e+44       1.606016369650e+33       8.598558873995e+33       3.523944761049e+43       1.174648253683e+43       3.463310090800e-08       7.070161354987e+43       2.590863162011e+44       1.638250351992e-06       6.826502931254e+00 
       8.577320689599e+13       1.027383489907e-25       5.404217517935e-09       1.587315645489e+22       1.415326394590e+04       1.650079839391e-10       1.213970836685e+18       3.119806966655e-09       1.489311912151e+44       1.572756743343e+33       8.420487927563e+33       3.426977159264e+43       1.142325719755e+43       3.463310090800e-08       6.875613302360e+43       2.519570958414e+44       1.716262273515e-06       6.516207343469e+00 
       8.517696811915e+13       1.041817200557e-25       5.440597306006e-09       1.565324402952e+22       1.415326394590e+04       1.661630398267e-10       1.205532111902e+18       3.141645615421e-09       1.448330848536e+44       1.540185903752e+33       8.246104722581e+33       3.332677793344e+43       1.110892597781e+43       3.463310090800e-08       6.686418585093e+43       2.450240486477e+44       1.794274195039e-06       6.232893980709e+00 
       8.458487400115e+13       1.056453690408e-25       5.478796083480e-09       1.543637835008e+22       1.415326394590e+04       1.673261811055e-10       1.197152047569e+18       3.163637134729e-09       1.408477451704e+44       1.508289586523e+33       8.075332888156e+33       3.240973242037e+43       1.080324414012e+43       3.463310090800e-08       6.502429896651e+43       2.382817765669e+44       1.872286116562e-06       5.973190064846e+00 
       8.399689573103e+13       1.071295808304e-25       5.518813850358e-09       1.522251720586e+22       1.415326394590e+04       1.684974643732e-10       1.188830235918e+18       3.185782594672e-09       1.369720691902e+44       1.477053822704e+33       7.908097634991e+33       3.151792104408e+43       1.050597368136e+43       3.463310090800e-08       6.323503983900e+43       2.317250300827e+44       1.950298038085e-06       5.734262462252e+00 
       8.341300469814e+13       1.086346443115e-25       5.557012627833e-09       1.501161897094e+22       1.415326394590e+04       1.696769466239e-10       1.180566272014e+18       3.208083072834e-09       1.332030393213e+44       1.446464932637e+33       7.744325722631e+33       3.065064944247e+43       1.021688314749e+43       3.463310090800e-08       6.149501535572e+43       2.253487041286e+44       2.028309959609e-06       5.513713906012e+00 
       8.283317249071e+13       1.101608524294e-25       5.595211405307e-09       1.480364259611e+22       1.415326394590e+04       1.708646852502e-10       1.172359753737e+18       3.230539654344e-09       1.295377210063e+44       1.416509519955e+33       7.583945427385e+33       2.980724236004e+43       9.935747453345e+42       3.463310090800e-08       5.980287073793e+43       2.191478341133e+44       2.106321881132e-06       5.309502279863e+00 
       8.225737089444e+13       1.117085022452e-25       5.635229172185e-09       1.459854760087e+22       1.415326394590e+04       1.720607380470e-10       1.164210281765e+18       3.253153431924e-09       1.259732604377e+44       1.387174465728e+33       7.426886510916e+33       2.898704312212e+43       9.662347707373e+42       3.463310090800e-08       5.815728848607e+43       2.131175920547e+44       2.184333802655e-06       5.119877198439e+00 
       8.168557189121e+13       1.132778949932e-25       5.673427949660e-09       1.439629406554e+22       1.415326394590e+04       1.732651632133e-10       1.156117459548e+18       3.275925505948e-09       1.225068823353e+44       1.358446922706e+33       7.273080189483e+33       2.818941312364e+43       9.396471041213e+42       3.463310090800e-08       5.655698735390e+43       2.072532828215e+44       2.262345724179e-06       4.943329708838e+00 
